Ville,Code Postal,Département,Latitude,Longitude,Distance_vélo,Temps_vélo,Temps_velo (minutes),Temps_transports,Temps_transports (minutes),Distance_transport,Ratio temps_en_transport/distance,Temps_voiture,Temps_voiture (minutes),Distance_auto,Temps_voiture_heure_de_pointe,Temps_voiture_heure_de_pointe (minutes),Distance heure de pointe,Ratio temps_en_voiture/distance,Difference tps de parcours Voiture/Transport,Difference tps de parcours heure de pointe Voiture/Transport
Grigny,91350,Essonne,48.6594523,2.3892205,38.6,2 hours 18 mins,138,1 hour 14 mins,74,41.2,1.7961165048543688,36 mins,36,41.2,1 hour 53 mins,113,41.2,0.8737864077669902,38.0,-39.0
Guibeville,91630,Essonne,48.5680849,2.2702998,54.9,2 hours 59 mins,179,1 hour 33 mins,93,63.1,1.473851030110935,50 mins,50,63.1,2 hours 17 mins,137,63.1,0.7923930269413629,43.0,-44.0
Guigneville-sur-Essonne,91590,Essonne,48.4730487,2.3550184,67.2,3 hours 56 mins,236,1 hour 0 mins,60,66.7,0.8995502248875562,52 mins,52,66.7,2 hours 3 mins,123,66.7,0.7796101949025487,8.0,-63.0
Guillerval,91690,Essonne,48.3648147,2.102435,22.7,1 hour 21 mins,81,46 mins,46,23.2,1.9827586206896552,25 mins,25,23.2,1 hour 31 mins,91,23.2,1.0775862068965518,21.0,-45.0
Igny,91430,Essonne,48.7375842,2.222934,50.1,2 hours 40 mins,160,nan,,50.6,,44 mins,44,50.6,2 hours 16 mins,136,50.6,0.8695652173913043,,
Itteville,91760,Essonne,48.5141804,2.3398083,46.9,2 hours 44 mins,164,1 hour 15 mins,75,49.3,1.5212981744421907,44 mins,44,49.3,1 hour 58 mins,118,49.3,0.8924949290060853,31.0,-43.0
Janville-sur-Juine,91510,Essonne,48.5134543,2.2595551,37.2,2 hours 5 mins,125,nan,,38.9,,34 mins,34,38.9,1 hour 51 mins,111,38.9,0.8740359897172236,,
Janvry,91640,Essonne,48.6478164,2.1534753,24.2,1 hour 17 mins,77,50 mins,50,22.7,2.2026431718061676,23 mins,23,22.7,1 hour 15 mins,75,22.7,1.013215859030837,27.0,-25.0
Juvisy-sur-Orge,91260,Essonne,48.6924661,2.3734777,53.7,2 hours 54 mins,174,1 hour 18 mins,78,62.3,1.2520064205457464,48 mins,48,62.3,2 hours 17 mins,137,62.3,0.7704654895666132,30.0,-59.0
La Ferté-Alais,91590,Essonne,48.481616,2.3482448,57.3,3 hours 17 mins,197,nan,,64.3,,49 mins,49,64.3,1 hour 58 mins,118,64.3,0.7620528771384137,,
La Forêt-le-Roi,91410,Essonne,48.4785524,2.0462866,62.2,3 hours 29 mins,209,nan,,62.0,,50 mins,50,62.0,2 hours 5 mins,125,62.0,0.8064516129032258,,
La Forêt-Sainte-Croix,91150,Essonne,48.3842989,2.2300719,36.7,2 hours 12 mins,132,1 hour 8 mins,68,40.4,1.6831683168316833,35 mins,35,40.4,1 hour 50 mins,110,40.4,0.8663366336633663,33.0,-42.0
La Norville,91290,Essonne,48.5819037,2.2612456,26.5,1 hour 33 mins,93,nan,,27.9,,26 mins,26,27.9,1 hour 23 mins,83,27.9,0.931899641577061,,
La Ville-du-Bois,91620,Essonne,48.6609691,2.2679598,47.4,2 hours 44 mins,164,1 hour 22 mins,82,49.9,1.6432865731462927,46 mins,46,49.9,1 hour 59 mins,119,49.9,0.9218436873747495,36.0,-37.0
Lardy,91510,Essonne,48.510496,2.265752,40.2,2 hours 11 mins,131,1 hour 0 mins,60,43.4,1.3824884792626728,33 mins,33,43.4,2 hours 2 mins,122,43.4,0.7603686635944701,27.0,-62.0
Le Coudray-Montceaux,91830,Essonne,48.5657074,2.4855545,34.9,2 hours 4 mins,124,nan,,40.3,,33 mins,33,40.3,2 hours 2 mins,122,40.3,0.8188585607940447,,
Le Plessis-Pâté,91220,Essonne,48.6123324,2.3251282,49.4,2 hours 49 mins,169,nan,,57.5,,42 mins,42,57.5,1 hour 47 mins,107,57.5,0.7304347826086957,,
Le Val-Saint-Germain,91530,Essonne,48.5654469,2.0600111,58.2,3 hours 19 mins,199,nan,,60.3,,45 mins,45,60.3,1 hour 53 mins,113,60.3,0.746268656716418,,
Les Granges-le-Roi,91410,Essonne,48.5034944,2.0197748,37.4,2 hours 8 mins,128,nan,,41.6,,37 mins,37,41.6,1 hour 46 mins,106,41.6,0.8894230769230769,,
Les Molières,91470,Essonne,48.6725203,2.0685953,32.0,1 hour 53 mins,113,nan,,35.2,,31 mins,31,35.2,1 hour 35 mins,95,35.2,0.8806818181818181,,
Les Ulis,91940,Essonne,48.6741988,2.1456266,41.0,2 hours 25 mins,145,nan,,42.6,,36 mins,36,42.6,1 hour 58 mins,118,42.6,0.8450704225352113,,
Leudeville,91630,Essonne,48.5724411,2.3290482,31.2,1 hour 53 mins,113,nan,,32.9,,29 mins,29,32.9,1 hour 41 mins,101,32.9,0.8814589665653496,,
Leuville-sur-Orge,91310,Essonne,48.616112,2.2635827,40.1,2 hours 21 mins,141,nan,,42.7,,39 mins,39,42.7,1 hour 49 mins,109,42.7,0.9133489461358313,,
Limours,91470,Essonne,48.6455145,2.0784035,29.1,1 hour 46 mins,106,nan,,30.6,,28 mins,28,30.6,1 hour 39 mins,99,30.6,0.9150326797385621,,
Linas,91310,Essonne,48.6317236,2.267187,37.9,2 hours 5 mins,125,nan,,38.8,,31 mins,31,38.8,1 hour 58 mins,118,38.8,0.7989690721649485,,
Lisses,91090,Essonne,48.5989373,2.4288472,21.9,1 hour 19 mins,79,45 mins,45,24.0,1.875,22 mins,22,24.0,1 hour 15 mins,75,24.0,0.9166666666666666,23.0,-30.0
Longjumeau,91160,Essonne,48.6930639,2.2947613,29.3,1 hour 46 mins,106,1 hour 1 min,61,30.8,1.9805194805194806,28 mins,28,30.8,1 hour 35 mins,95,30.8,0.9090909090909091,33.0,-34.0
Longpont-sur-Orge,91310,Essonne,48.64254589999999,2.2920805,64.8,3 hours 30 mins,210,1 hour 24 mins,84,69.6,1.2068965517241381,50 mins,50,69.6,2 hours 18 mins,138,69.6,0.7183908045977012,34.0,-54.0
